batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=17.ckpt,17,0.7051162790697675,29,128,37.9103,1.3749,0.0007,5.025,1.2967,7.6848,0.5913,305.6532,13.559,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0321,0.0321
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=18.ckpt,18,0.7013953488372093,29,128,38.4612,1.3723,0.0007,5.006,1.2935,8.094,0.5944,308.7534,13.868,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0317,0.0317
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=19.ckpt,19,0.7004651162790698,29,128,37.9415,1.3717,0.0007,5.0098,1.2812,7.6439,0.6047,308.3748,14.173,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0319,0.0319
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=20.ckpt,20,0.6948837209302325,29,128,38.2779,1.3711,0.0007,5.0168,1.3003,7.7005,0.5872,308.7158,14.3792,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0316,0.0316
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=21.ckpt,21,0.7106976744186047,29,128,38.9067,1.3716,0.0007,4.9849,1.2994,8.0438,0.5881,316.0568,14.6868,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.032,0.032
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=22.ckpt,22,0.7051162790697675,29,128,39.5098,1.3702,0.0007,4.9745,1.3135,8.0913,0.576,320.6145,14.8376,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0325,0.0325
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=23.ckpt,23,0.7041860465116279,29,128,39.1939,1.3723,0.0007,4.9873,1.2912,8.4639,0.5952,319.5854,14.8454,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0332,0.0332
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=24.ckpt,24,0.707906976744186,29,128,39.7134,1.372,0.0007,4.9794,1.2986,8.5875,0.5887,321.9266,14.6073,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0328,0.0328
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=25.ckpt,25,0.7088372093023256,29,128,39.8794,1.3704,0.0007,4.9719,1.3037,8.6339,0.5845,323.4294,14.9256,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0338,0.0338
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=26.ckpt,26,0.6976744186046512,29,128,38.6675,1.3706,0.0007,4.9876,1.2783,8.3476,0.6063,314.7152,14.5239,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0329,0.0329
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=27.ckpt,27,0.7013953488372093,29,128,39.6356,1.3701,0.0007,4.9563,1.2914,8.735,0.5946,324.4084,15.0983,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0327,0.0327
